Entity,Label
Methicillin,CHEMICAL
aureus pneumonia Klebsiella urinary tract infection Upper gastrointestinal bleed,DISEASE
Hemoptysis,DISEASE
Adrenal insufficiency,DISEASE
venous thrombosis Thrombocytopenia Blood loss anemia Encephalopathy Anoxic,DISEASE
Coagulopathy,DISEASE
Penicillins Bactrim,CHEMICAL
Hemoptysis,DISEASE
Illness pulmonary hypertension,DISEASE
hemoptysis,DISEASE
heart failure,DISEASE
hemoptysis,DISEASE
abdominal pain,DISEASE
hypertensive,DISEASE
levofloxacin,CHEMICAL
pneumonia,DISEASE
hypertension,DISEASE
tricuspid regurgitation,DISEASE
Atrial fibrillation,DISEASE
Hypertension,DISEASE
malar rash,DISEASE
Pain,DISEASE
Gout Anemia Iron,DISEASE
anemia,DISEASE
Hypertension Cancer,DISEASE
nystagmus,DISEASE
icterus,DISEASE
Pulmonary Lungs coarse Cardiac irregular,DISEASE
normoactive bowel sounds masses,DISEASE
organomegaly,DISEASE
edema,DISEASE
Skin rashes lesions,DISEASE
CREAT,CHEMICAL
Glucose,CHEMICAL
depression,DISEASE
cardiomegaly,DISEASE
pleural effusion pneumothorax Cholelithiasis,DISEASE
cholecystitis,DISEASE
depressed,DISEASE
tricuspid regurgitation,DISEASE
aortic regurgitation,DISEASE
mitral regurgitation,DISEASE
pulmonary artery systolic hypertension,DISEASE
pericardial effusion,DISEASE
tricuspid regurgitation,DISEASE
pulmonary artery systolic pressure,DISEASE
arthrosis fracture fracture,DISEASE
intracranial hemorrhage,DISEASE
chronic microvascular ischemic changes,DISEASE
pleural effusion,DISEASE
loculated Bronchomalacia bronchus intermedius,DISEASE
cardiomegaly,DISEASE
right atrial enlargement tricuspid insufficiency Pulmonary hypertension Bibasilar atelectasis,DISEASE
lower lobe pneumonia,DISEASE
lymphadenopathy,DISEASE
neoplasm,DISEASE
pleural effusion,DISEASE
effusion,DISEASE
effusion,DISEASE
atelectasis,DISEASE
cardio megaly,DISEASE
pericardial effusion Right renal cysts,DISEASE
Hemoptysis anemia,DISEASE
pulmonary hypertension,DISEASE
bleeding,DISEASE
bleeding,DISEASE
hemoptysis,DISEASE
Respiratory failure pneumonia pleural effusions,DISEASE
hemoptysis,DISEASE
hemoptysis heart failure,DISEASE
pneumonia,DISEASE
levofloxacin Vancomycin,CHEMICAL
fever,DISEASE
levofloxacin aztreonam,CHEMICAL
pleural effusion,DISEASE
loculated pleural effusion,DISEASE
opacities,DISEASE
vancomycin aztreonam,CHEMICAL
Levaquin,CHEMICAL
Coagulopathy,DISEASE
coumadin,CHEMICAL
vitK,CHEMICAL
hemoptysis Congestive heart failure,DISEASE
hypotension,DISEASE
Atrial fibrillation,DISEASE
hypotension Metoprolol,DISEASE
hemoptysis,DISEASE
aspirin allergy,CHEMICAL
Renal failure,DISEASE
blood loss hypertension,DISEASE
pain,DISEASE
Tylenol,CHEMICAL
Lidocaine,CHEMICAL
oxycodone Ultram,CHEMICAL
Haldol,CHEMICAL
Klonopin,CHEMICAL
Pain,DISEASE
pain,DISEASE
pain,DISEASE
oxycodone,CHEMICAL
Ultram,CHEMICAL
Hypertension,DISEASE
Nifedipine,CHEMICAL
HCTZ,CHEMICAL
Metoprolol,CHEMICAL
metoprolol,CHEMICAL
Obstructive sleep,DISEASE
apnea,DISEASE
Hyperglycemia,DISEASE
glucose,CHEMICAL
Tramadol,CHEMICAL
Fluvoxamine,CHEMICAL
Cortisone,CHEMICAL
rash Clindamycin,DISEASE
Diphenhydramine,CHEMICAL
Vitamin,CHEMICAL
Lactulose Syrup,CHEMICAL
constipation Oxycodone,DISEASE
Acetaminophen,CHEMICAL
Prilosec,CHEMICAL
Zolpidem,CHEMICAL
insomnia Furosemide,DISEASE
Hydrochlorothiazide,CHEMICAL
Ferrous Sulfate,CHEMICAL
Nifedipine,CHEMICAL
Metoprolol Tartrate,CHEMICAL
Clonazepam,CHEMICAL
Metoprolol Tartrate,CHEMICAL
Furosemide,CHEMICAL
Tramadol,CHEMICAL
Prilosec,CHEMICAL
Fluvoxamine,CHEMICAL
Vitamin,CHEMICAL
Lactulose,CHEMICAL
Zolpidem,CHEMICAL
insomnia Ferrous Sulfate,DISEASE
Clonazepam,CHEMICAL
Docusate Sodium,CHEMICAL
constipation Bisacodyl,DISEASE
Heparin,CHEMICAL
Simethicone,CHEMICAL
Ipratropium Bromide,CHEMICAL
Haloperidol,CHEMICAL
Clopidogrel,CHEMICAL
Oxycodone,CHEMICAL
Acetaminophen,CHEMICAL
pain fever Lidocaine,DISEASE
Ondansetron,CHEMICAL
nausea,DISEASE
Hemoptysis Pulmonary hypertension Pneumonia,DISEASE
Pleural effusion Acute renal failure,DISEASE
Secondary Congestive heart failure,DISEASE
Atrial fibrillation,DISEASE
Anemia iron,DISEASE
Tricuspid regurgitation,DISEASE
Systemic lupus Obstructive sleep,DISEASE
apnea Gastroesophageal reflux disease,DISEASE
Gout,DISEASE
hemoptysis bloody,DISEASE
pulmonary hypertension,DISEASE
coumadin,CHEMICAL
hepatitis,DISEASE
strep,DISEASE
hypothyroidism,DISEASE
fibroids,DISEASE
premature labor,DISEASE
Terbutaline,CHEMICAL
magnesium,CHEMICAL
premature rupture,DISEASE
breech breech presentation,DISEASE
Palate,DISEASE
hepatosplenomegaly,DISEASE
bruising,DISEASE
bruise,DISEASE
caffeine,CHEMICAL
caffeine,CHEMICAL
apnea prematurity caffeine,DISEASE
apnea,DISEASE
apnea prematurity,DISEASE
Dopamine,CHEMICAL
Dopamine,CHEMICAL
breast milk Enfamil,DISEASE
bilirubin,CHEMICAL
neutropenia,DISEASE
Ampicillin Gentamycin,CHEMICAL
breast milk Enfamil calories ounce monitor growth,DISEASE
Ferrous sulfate Poly,CHEMICAL
hepatitis,DISEASE
neuromuscular disease airway abnormalities,DISEASE
chronic lung disease,DISEASE
chronic lung disease,DISEASE
Prematurity,DISEASE
Sepsis,DISEASE
Respiratory distress,DISEASE
prematurity,DISEASE
hyperbilirubinemia,DISEASE
NASH cirrhosis,DISEASE
lymphomatoid granulomatosis,DISEASE
seizure,DISEASE
lymphomatoid granulomatosis,DISEASE
diarrhea,DISEASE
fever,DISEASE
Ativan,CHEMICAL
local edema,DISEASE
vanco acyclovir,CHEMICAL
iron,CHEMICAL
anemia,DISEASE
iron,CHEMICAL
bleeding,DISEASE
Hypertension,DISEASE
Diabetes Mellitus,DISEASE
retinopathy neuropathy nephropathy Alcoholic,DISEASE
Steatorrheic Hepatitis cirrhosis,DISEASE
psoriasis vitiligo,DISEASE
EtOH smoking,CHEMICAL
propofol,CHEMICAL
Coags,DISEASE
edema,DISEASE
bibasilar consolidations atelectasis pneumonia,DISEASE
fullness,DISEASE
infection,DISEASE
edema,DISEASE
abscess,DISEASE
Demyelinating process neoplasm,DISEASE
hydrocephalus,DISEASE
enlargement RIGHT,DISEASE
aortic diameter sinus level Normal ascending aorta,DISEASE
arch coarctation,DISEASE
mitral chordae normal variant resting LVOT gradient,DISEASE
pericardial effusion Conclusions left atrium mildly dilated Left ventricular wall thickness,DISEASE
aortic regurgitation mitral valve,DISEASE
mitral regurgitation,DISEASE
mitral valve prolapse,DISEASE
pulmonary artery systolic pressure,DISEASE
pericardial effusion,DISEASE
seizures fevers left temporal lobe mass,DISEASE
Dilantin,CHEMICAL
Flagyl,CHEMICAL
dificile,DISEASE
decadron,CHEMICAL
dilantin,CHEMICAL
Keppra,CHEMICAL
dilantin,CHEMICAL
metoprolol,CHEMICAL
lisinopril,CHEMICAL
aspirin,CHEMICAL
glucophage HCTZ isosorbide,CHEMICAL
Disposition,CHEMICAL
Diagnosis lymphoma cell lymphoma,DISEASE
Cirrhosis,DISEASE
headache nausea vision,DISEASE
dizziness weakness numbness,DISEASE
fever chest pain shortness breath,DISEASE
aspirin,CHEMICAL
dexamethasone,CHEMICAL
keppra,CHEMICAL
flagyl,CHEMICAL
lomotil,CHEMICAL
dexamethasone,CHEMICAL
diabetic retinopathy,DISEASE
trauma,DISEASE
hematomas,DISEASE
subarachnoid hemorrhage left frontal intraparenchymal hemorrhage,DISEASE
edema,DISEASE
hematoma,DISEASE
respiratory distress,DISEASE
infarct,DISEASE
left hemiparesis,DISEASE
pneumonia,DISEASE
atrial fibrillation,DISEASE
fever,DISEASE
Peripheral vascular disease Hypertension Right occluded Myelodysplasia Squamous cell skin cancer,DISEASE
Atrial fibrillation,DISEASE
pneumonia,DISEASE
drug allergies,DISEASE
Lovenox,CHEMICAL
Amiodarone,CHEMICAL
Nicotine,CHEMICAL
Folic acid,CHEMICAL
Epogen,CHEMICAL
Seroquel Vitamin,CHEMICAL
Zoloft,CHEMICAL
Lopressor,CHEMICAL
Appeared,DISEASE
fever,DISEASE
vancomycin,CHEMICAL
Flagyl,CHEMICAL
pneumonia,DISEASE
vancomycin,CHEMICAL
Flagyl,CHEMICAL
rash,DISEASE
miliaria,DISEASE
Lidex,CHEMICAL
rash,DISEASE
linezolid,CHEMICAL
vancomycin,CHEMICAL
endocarditis,DISEASE
hematoma,DISEASE
endocarditis,DISEASE
linezolid,CHEMICAL
left shoulder weakness,DISEASE
erythema,DISEASE
KinAir skin,DISEASE
hematoma,DISEASE
linezolid,CHEMICAL
head changes neurologic status,DISEASE
fever,DISEASE
Amiodarone,CHEMICAL
Folic acid,CHEMICAL
Quetiapine fumarate,CHEMICAL
Epoetin,CHEMICAL
Percocet,CHEMICAL
Tylenol Miconazole nitrate,CHEMICAL
Albuterol,CHEMICAL
linezolid,CHEMICAL
Protonix,CHEMICAL
hematoma,DISEASE
Left hemiparesis Enterococcus,DISEASE
vancomycin,CHEMICAL
methicillin,CHEMICAL
Atrial fibrillation,DISEASE
cerebrovascular accident Right occluded Myelodysplasia Squamous cell skin cancer,DISEASE
Birth Service NSURG,DISEASE
headache,DISEASE
hematoma,DISEASE
hematoma,DISEASE
hemorrhage,DISEASE
hematoma,DISEASE
pneumonia,DISEASE
atrial fibrillation,DISEASE
hemisphere stroke,DISEASE
headaches fevers,DISEASE
hematoma,DISEASE
ceftriaxone flagyl,CHEMICAL
vanco,CHEMICAL
flagyl,CHEMICAL
hematoma,DISEASE
Vanco,CHEMICAL
facecium,CHEMICAL
linezolid,CHEMICAL
chest likely failure,DISEASE
pneumonia,DISEASE
rash,DISEASE
Lidex,CHEMICAL
angio,CHEMICAL
Bandemia,DISEASE
bactermia,DISEASE
right carotid myelodysplasia,DISEASE
right carotid occlusion squamous cell carcinoma radiation,DISEASE
miliaria back stage sacral decub infected appearing with dressing place left heel decub left picc right line left peripheral line infected,DISEASE
erythema,DISEASE
carotid bruits lymphadenopathy,DISEASE
tenderness erythema,DISEASE
left extremity edema,DISEASE
pedal edema,DISEASE
faecium,CHEMICAL
head left subdural hematoma,DISEASE
pneumonia,DISEASE
emphysema,DISEASE
lethargy,DISEASE
hematomas,DISEASE
frontal intraparenchymal hemorrhage,DISEASE
hematoma,DISEASE
hemorrhages,DISEASE
hematoma,DISEASE
hematoma,DISEASE
hematoma,DISEASE
hematoma,DISEASE
encephalomalacia right anterior middle cerebral artery,DISEASE
chronic infarctions subarachnoid blood right cerebral sulci,DISEASE
hematoma,DISEASE
rightward midline shift mass effect,DISEASE
subdural hemorrhage,DISEASE
pneumonia,DISEASE
congestive heart failure pneumonia,DISEASE
congestive heart failure,DISEASE
bacteremia,DISEASE
edema,DISEASE
bacteremia,DISEASE
thrombophlebitis,DISEASE
thrombus,DISEASE
upper extremity HISTORY,DISEASE
hematomas stroke,DISEASE
pain,DISEASE
dislocation,DISEASE
endocarditis,DISEASE
infection,DISEASE
pneumonia,DISEASE
linezolid,CHEMICAL
synercid daptomycin,CHEMICAL
thrombus,DISEASE
hematoma sepsis,DISEASE
ulcer decubitis ulcer,DISEASE
Erythromycin,CHEMICAL
Sulfonamide,CHEMICAL
clindamycin,CHEMICAL
rigors,DISEASE
hyperlipidemia diverticulosis,DISEASE
decitabine,CHEMICAL
rigors chills,DISEASE
hypertensive,DISEASE
tylenol hydrocortisone,CHEMICAL
hypotensive,DISEASE
hypoxia,DISEASE
neutropenia,DISEASE
hemolysis,DISEASE
interstitial edema,DISEASE
bleed,DISEASE
fever chills pain,DISEASE
headache,DISEASE
bruise canker sore mouth,DISEASE
Fever Chills,DISEASE
Anorexia,DISEASE
weight loss gain,DISEASE
Blurred vision,DISEASE
ulcers Sore throat Epistaxis Tinnitus,DISEASE
Tinnitus,DISEASE
Wheeze Purulent sputum,DISEASE
Hemoptysis,DISEASE
pain,DISEASE
Angina Palpitations,DISEASE
Orthopnea Chest Pain,DISEASE
Anorexia Nausea Vomiting,DISEASE
Diarrhea Constipation pain,DISEASE
Dysuria,DISEASE
Hematuria,DISEASE
Menorrhagia,DISEASE
Pruritus,DISEASE
pain,DISEASE
pain,DISEASE
Headache,DISEASE
Confusion Numbness,DISEASE
Lightheaded Vertigo Headache,DISEASE
bruising,DISEASE
bleeding,DISEASE
anemia,DISEASE
acute myeloiod transformation diverticulosis,DISEASE
bleeding bleeding,DISEASE
GERD emphysema,DISEASE
myelodysplastic syndrome,DISEASE
blastemia,DISEASE
colon polyps,DISEASE
hypertension hyperlipidemia,DISEASE
TMJD,DISEASE
Denies illicit drug,DISEASE
leukemia,DISEASE
cataracts,DISEASE
icterus,DISEASE
Nose Mouth Throat small purplish nodule tongue bruising,DISEASE
Gastrointestinal soft bowel sounds Genitourinary flank tenderness Skin rashes lesions,DISEASE
supraclavicular lymphadenopathy,DISEASE
abnormal movements,DISEASE
wheezes rhonchi,DISEASE
tenderness,DISEASE
tenderness,DISEASE
tenderness,DISEASE
edema,DISEASE
GRAN,CHEMICAL
CREAT,CHEMICAL
UROBILNGN LEUK,CHEMICAL
Glucose,CHEMICAL
Calcium,CHEMICAL
interstitial edema,DISEASE
pneumothorax,DISEASE
pneumonia,DISEASE
retroperitoneal hemorrhage,DISEASE
gallbladder polyp,DISEASE
adenomyomatosis,DISEASE
fundus Sigmoid diverticulosis,DISEASE
bibasilar opacities,DISEASE
bronchiectasis,DISEASE
intracranial hemorrhage mass,DISEASE
hemorrhage,DISEASE
bleeding,DISEASE
gallbladder polyp fundal adenomyomatosis,DISEASE
diverticulosis,DISEASE
diverticulitis,DISEASE
left adrenal adenoma,DISEASE
celiac artery aortic dilation,DISEASE
Abnormal mucosa colon Diverticulosis sigmoid colon small,DISEASE
bleeding,DISEASE
bleediong diverticulosis,DISEASE
colon Bleeding angioectasias,DISEASE
Polyp transverse colon Blood stool,DISEASE
colon bleeding,DISEASE
anal fissure,DISEASE
Diverticulosis sigmoid colon descending colon Ulcers,DISEASE
bleeding,DISEASE
diverticulosis,DISEASE
thrombocytopenia,DISEASE
diverticulosis,DISEASE
colon bleeding angioectasias,DISEASE
bloody bowel movements,DISEASE
bloody bowel movements,DISEASE
amicar,CHEMICAL
angioectasias,DISEASE
polyp,DISEASE
Argon,CHEMICAL
bloody bowel movements,DISEASE
watery,DISEASE
amicar,CHEMICAL
thrombocytopenia,DISEASE
consumptive,DISEASE
schistocytes,DISEASE
renal failure neurologic,DISEASE
bleeding,DISEASE
Amicar,CHEMICAL
aspirin plavix,CHEMICAL
platelet transfusions Platelet count upon discharge transfusion reaction,DISEASE
famotidine,CHEMICAL
hydrocortisone,CHEMICAL
Dacogen,CHEMICAL
Dacogen,CHEMICAL
GERD,DISEASE
constipation,DISEASE
constipation,DISEASE
bloody bowel movements,DISEASE
loratadine,CHEMICAL
omeprazole,CHEMICAL
polyethylene glycol gram,CHEMICAL
magnesium hydroxide,CHEMICAL
docusate sodium,CHEMICAL
allopurinol,CHEMICAL
loratadine,CHEMICAL
omeprazole,CHEMICAL
constipation Milk,DISEASE
constipation docusate sodium,DISEASE
Disposition,CHEMICAL
Diagnosis myelodysplastic syndrome acute myloid leukemia,DISEASE
bleed,DISEASE
bleeding,DISEASE
bleeding,DISEASE
bleeding,DISEASE
Amicar,CHEMICAL
bloody stools your blood level stable your platelets,DISEASE
leukemia,DISEASE
chemo,CHEMICAL
hypertensive,DISEASE
allopurinol,CHEMICAL
Penicillins,CHEMICAL
hepatic artery aneurysm,DISEASE
hepatic artery aneurysm,DISEASE
weight loss,DISEASE
hepatic artery aneurysm,DISEASE
aneurysm,DISEASE
hepatic artery aneurism migraines,DISEASE
hernia,DISEASE
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Calcium,CHEMICAL
Calcium,CHEMICAL
Calcium,CHEMICAL
Iron,CHEMICAL
Calcium,CHEMICAL
Calcium,CHEMICAL
Calcium,CHEMICAL
Calcium,CHEMICAL
Calcium,CHEMICAL
hepatic artery aneurysm,DISEASE
bradycardia,DISEASE
pain,DISEASE
weight loss,DISEASE
pain,DISEASE
Atenolol,CHEMICAL
lisinopril,CHEMICAL
trazodone,CHEMICAL
multivitamin vitamin vitamin,CHEMICAL
Atenolol,CHEMICAL
Lisinopril,CHEMICAL
Tamsulosin,CHEMICAL
Trazodone,CHEMICAL
Aspirin,CHEMICAL
Hydromorphone,CHEMICAL
pain,DISEASE
Docusate Sodium,CHEMICAL
Diphenhydramine,CHEMICAL
Itching Resume vitamins minerals,DISEASE
Disposition,CHEMICAL
hepatic artery aneurysm,DISEASE
swelling,DISEASE
appetite,DISEASE
cholesterol,CHEMICAL
constipation,DISEASE
pain,DISEASE
pain,DISEASE
aspirin,CHEMICAL
Redness,DISEASE
sudden increase pain,DISEASE
pain,DISEASE
Penicillins,CHEMICAL
Cipro,CHEMICAL
Disposition,CHEMICAL
Penicillins,CHEMICAL
malnutrition,DISEASE
Disposition,CHEMICAL
shortness breath,DISEASE
hemoptysis,DISEASE
COPD hypertension,DISEASE
reflux,DISEASE
shortness breath,DISEASE
dyspnea,DISEASE
hemoptysis,DISEASE
chest pain,DISEASE
pain,DISEASE
bronchial lesion,DISEASE
pneumonia,DISEASE
renal insufficiency,DISEASE
COPD Rash,DISEASE
GERD,DISEASE
alcohol,CHEMICAL
accessory muscles breath,DISEASE
edema,DISEASE
Glucose,CHEMICAL
Chest Multilobar,DISEASE
edema multilobar pneumonia postobstructive,DISEASE
pleural effusions right greater,DISEASE
pulmonary embolus,DISEASE
cardiac enlargement,DISEASE
pulmonary hypertension,DISEASE
bibasilar pleural effusions,DISEASE
cardiac failure,DISEASE
pulmonary hypertension,DISEASE
Pneumonia,DISEASE
ceftriaxone azithromycin,CHEMICAL
pneumonia,DISEASE
Levaquin,CHEMICAL
oxygen,CHEMICAL
prednisone,CHEMICAL
desaturation,DISEASE
rhonchorous breath,DISEASE
lasix,CHEMICAL
tachypneic,DISEASE
Ceftazadine,CHEMICAL
lasix morphine,CHEMICAL
desaturate,CHEMICAL
desaturation,DISEASE
morphine,CHEMICAL
leukocytosis,DISEASE
pneumonia,DISEASE
levaquin,CHEMICAL
Hemoptysis episodes hemoptysis,DISEASE
pneumonia,DISEASE
Chest pain,DISEASE
chest pain,DISEASE
renal insufficiency,DISEASE
Acute renal failure acute renal failure,DISEASE
Isordil,CHEMICAL
trace edema,DISEASE
lasix,CHEMICAL
Acetaminophen Aluminum Hydroxide,CHEMICAL
Albuterol,CHEMICAL
Amlodipine,CHEMICAL
Calcium Carbonate,CHEMICAL
Disposition,CHEMICAL
pneumonia,DISEASE
myocardial infarction congestive heart failure COPD,DISEASE
Hypertension GERD,DISEASE
Chest Pain,DISEASE
Chol type,CHEMICAL
diabetes mellitus,DISEASE
chest pain,DISEASE
chest pain,DISEASE
vessel disease left main disease,DISEASE
Referred,DISEASE
diabetes mellitus Hypertension,DISEASE
Hypercholesterolemia Lightheadedness,DISEASE
herpes Lipodystrophy Varicose veins Erectile dysfunction Diverticulae sigmoid descending colon Left ankle subacute,DISEASE
venous stasis ulcer Left tibia fracture,DISEASE
vitreous detachment,DISEASE
fracture,DISEASE
smoking,CHEMICAL
Fall,CHEMICAL
uterine cancer,DISEASE
mother lupus sister stroke grandmother,DISEASE
diabetes,DISEASE
hypertension,DISEASE
icteric sclerae,DISEASE
lesions carotid bruits Pulm CTAB wheezes rales ronchi,DISEASE
Diaphragmatic excursion blowing systolic crescendo decrescendo murmur auscultated,DISEASE
distended nontender Active hepatomegaly splenomegaly,DISEASE
peripheral edema,DISEASE
tremor,DISEASE
vessel disease,DISEASE
luminal,CHEMICAL
luminal,CHEMICAL
pulmonary artery hypertension,DISEASE
anterolateral hypokinesis,DISEASE
mitral regurgitation,DISEASE
Glucose,CHEMICAL
Glucose,CHEMICAL
Calcium,CHEMICAL
Nitrite,CHEMICAL
Glucose Ketone,CHEMICAL
Urobiln,CHEMICAL
Propofol,CHEMICAL
propofol,CHEMICAL
Lasix,CHEMICAL
diabetes,DISEASE
Lopressor,CHEMICAL
lasix,CHEMICAL
ANDROGEL,CHEMICAL
ATAZANAVIR,CHEMICAL
ritonavir,CHEMICAL
cholesterol,CHEMICAL
depression,DISEASE
type diabetes mellitus LAMIVUDINE,DISEASE
LISINOPRIL,CHEMICAL
chest pain,DISEASE
pain,DISEASE
pain,DISEASE
esophageal reflux RITONAVIR capsule mouth,DISEASE
atazanavir,CHEMICAL
TENOFOVIR,DISEASE
Aspirin,CHEMICAL
Docusate Sodium,CHEMICAL
Lamivudine,CHEMICAL
Hydromorphone,CHEMICAL
Ritonavir,CHEMICAL
Atazanavir Sulfate,CHEMICAL
Tenofovir Disoproxil Fumarate,CHEMICAL
Stavudine,CHEMICAL
Atorvastatin Calcium,CHEMICAL
Venlafaxine,CHEMICAL
Zantac,CHEMICAL
Metoprolol Tartrate,CHEMICAL
Acyclovir,CHEMICAL
Lasix,CHEMICAL
Proscar,CHEMICAL
Glargine,CHEMICAL
Lispro,CHEMICAL
glucose,CHEMICAL
Disposition,CHEMICAL
Coronary Artery Disease Coronary Artery Bypass Graft viral load,DISEASE
diabetes mellitus Hypertension,DISEASE
Hypercholesterolemia Lightheadedness,DISEASE
herpes Lipodystrophy Varicose veins Erectile dysfunction Diverticulae sigmoid descending colon Left ankle subacute,DISEASE
venous stasis ulcer Left tibia fracture,DISEASE
vitreous detachment,DISEASE
fracture,DISEASE
right hemifacial paralysis,DISEASE
postoperative delirium,DISEASE
hygromas,DISEASE
lower extremity weakness,DISEASE
palsy,DISEASE
paralysis,DISEASE
hygroma,DISEASE
sinus tachycardia,DISEASE
Lopressor,CHEMICAL
right ptosis,DISEASE
paralysis,DISEASE
stroke,DISEASE
hygromas,DISEASE
improving neurologic status,DISEASE
Metoprolol Heparin,CHEMICAL
Tylenol,CHEMICAL
coronary artery disease myocardial infarction,DISEASE
carotid stenosis,DISEASE
palsy hemifacial paralysis,DISEASE
delirium tremens,DISEASE
hygromas,DISEASE
hygromas,DISEASE
confusion,DISEASE
Coronary artery disease myocardial infarction,DISEASE
carotid stenosis Peptic ulcer disease,DISEASE
Hypertension,DISEASE
palsy hemifacial paralysis,DISEASE
drug allergies,DISEASE
Extraocular movements,DISEASE
upper extremity hemiparesis moves right purposely spontaneously continues have right facial droop,DISEASE
Allergies Adverse Drug Reactions,DISEASE
Cholangitis,DISEASE
cholangitis,DISEASE
intermittent biliary colic,DISEASE
pain,DISEASE
delirious,DISEASE
fever,DISEASE
gallstones,DISEASE
Vancomycin Zosyn,CHEMICAL
Unasyn,CHEMICAL
Unasyn cefepime gentamycin,CHEMICAL
acute renal failure,DISEASE
upper extremity swelling,DISEASE
abdominal pain nausea,DISEASE
Systems Pain,DISEASE
floor pain,DISEASE
cough chest pain,DISEASE
arthralgias,DISEASE
swelling,DISEASE
cholangitis,DISEASE
lung cancer,DISEASE
bradycardia,DISEASE
hypertension,DISEASE
diabetes,DISEASE
chronic back pain,DISEASE
smoke,CHEMICAL
stroke,DISEASE
type cancer,DISEASE
hearing Oropharynx clear lesions Neck Supple Chest Normal respirations,DISEASE
ankle edema Skin small,DISEASE
blisters left hand Left upper slightly swollen Neuro Alert oriented Good fund knowledge Able discuss current events memory,DISEASE
swelling,DISEASE
edema,DISEASE
Glucose,CHEMICAL
Glucose,CHEMICAL
partial obstruction seen biliary tree,DISEASE
cholangitis,DISEASE
Cholangitis,DISEASE
cipro,CHEMICAL
blood Bacteremia,DISEASE
cefepime gentamicin,CHEMICAL
ciprofloxacin,CHEMICAL
Acute renal failure,DISEASE
creatinine,CHEMICAL
upper extremity swelling,DISEASE
nystatin oral Type Diabetes,CHEMICAL
Metformin,CHEMICAL
Hypertension,DISEASE
carvedilol,CHEMICAL
Lasix,CHEMICAL
lumbar back pain,DISEASE
Oxycontin,CHEMICAL
renal failure illness,DISEASE
oxycodone,CHEMICAL
Coagulopathy,DISEASE
Carvedilol,CHEMICAL
Furosemide,CHEMICAL
Lisinopril,CHEMICAL
Percocet Metoclopromide Levemir,CHEMICAL
Metformin Simvastatin,CHEMICAL
carvedilol,CHEMICAL
oxycodone,CHEMICAL
Percocet,CHEMICAL
pain lisinopril,DISEASE
metoclopramide,CHEMICAL
Levemir,CHEMICAL
metformin,CHEMICAL
ciprofloxacin,CHEMICAL
nystatin diphenhydramin,CHEMICAL
mouth pain,DISEASE
furosemide,CHEMICAL
simvastatin,CHEMICAL
Disposition,CHEMICAL
Cholangitis Bacteremia,DISEASE
Acute renal failure Coagulopathy Thrombocytopenia swelling,DISEASE
Hypertension,DISEASE
pain,DISEASE
cholangitis,DISEASE
Allergies Adverse Drug Reactions,DISEASE
colangitis,DISEASE
bacteremia,DISEASE
sepsis SIRS,DISEASE
Disposition,CHEMICAL
dementia,DISEASE
cardiac arrest,DISEASE
atropine,CHEMICAL
arrest,DISEASE
atropine,CHEMICAL
pneumothorax,DISEASE
heparin,CHEMICAL
flagyl,CHEMICAL
seizure,DISEASE
ativan,CHEMICAL
dopa,CHEMICAL
heparin,CHEMICAL
Dementia hyperlipdiemia,DISEASE
myclonic jerks left right,DISEASE
edema,DISEASE
hematuria,DISEASE
edema,DISEASE
pain,DISEASE
myclonic jerks,DISEASE
Glucose,CHEMICAL
Calcium,CHEMICAL
PEEP,CHEMICAL
Glucose Lactate,CHEMICAL
Lactate,CHEMICAL
Lactate,CHEMICAL
Lactate,CHEMICAL
pneumothorax,DISEASE
lucency,DISEASE
pneumothorax,DISEASE
atelectasis,DISEASE
Chest Pain,DISEASE
Chol type,CHEMICAL
diabetes mellitus,DISEASE
chest pain,DISEASE
chest pain,DISEASE
vessel disease left main disease,DISEASE
Referred,DISEASE
diabetes mellitus Hypertension,DISEASE
Hypercholesterolemia Lightheadedness,DISEASE
herpes Lipodystrophy Varicose veins Erectile dysfunction Diverticulae sigmoid descending colon Left ankle subacute,DISEASE
venous stasis ulcer Left tibia fracture,DISEASE
vitreous detachment,DISEASE
fracture,DISEASE
smoking,CHEMICAL
Fall,CHEMICAL
uterine cancer,DISEASE
mother lupus sister stroke grandmother,DISEASE
diabetes,DISEASE
hypertension,DISEASE
icteric sclerae,DISEASE
lesions carotid bruits Pulm CTAB wheezes rales ronchi,DISEASE
Diaphragmatic excursion blowing systolic crescendo decrescendo murmur auscultated,DISEASE
distended nontender Active hepatomegaly splenomegaly,DISEASE
peripheral edema,DISEASE
tremor,DISEASE
vessel disease,DISEASE
luminal,CHEMICAL
luminal,CHEMICAL
pulmonary artery hypertension,DISEASE
anterolateral hypokinesis,DISEASE
mitral regurgitation,DISEASE
Glucose,CHEMICAL
Glucose,CHEMICAL
Calcium,CHEMICAL
Nitrite,CHEMICAL
Glucose Ketone,CHEMICAL
Urobiln,CHEMICAL
Propofol,CHEMICAL
propofol,CHEMICAL
Lasix,CHEMICAL
diabetes,DISEASE
Lopressor,CHEMICAL
lasix,CHEMICAL
ANDROGEL,CHEMICAL
ATAZANAVIR,CHEMICAL
ritonavir,CHEMICAL
cholesterol,CHEMICAL
depression,DISEASE
type diabetes mellitus LAMIVUDINE,DISEASE
LISINOPRIL,CHEMICAL
